UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Chico, CA",DemandResponse,90208,306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348241.0,363508.0,358513.0,348094.0
"Cincinnati, OH-KY-IN",Bus,340834,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34045435.0,33330623.0,32498472.0,31136857.0
"Cincinnati, OH-KY-IN",DemandResponse,240520,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428745.0,1494090.0,1600098.0,1736049.0
"Cincinnati, OH-KY-IN",Rail,50012,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289619.0,455323.0
"Clarksville, TN-KY",Bus,40092,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681074.0,677568.0,633088.0,637288.0
"Clarksville, TN-KY",DemandResponse,40092,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73001.0,68722.0,73774.0,77067.0
"Cleveland, OH",Bus,300605,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41544354.0,38550045.0,37878920.0,35789395.0
"Cleveland, OH",DemandResponse,300558,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276196.0,1288479.0,1288699.0,2144391.0
"Cleveland, OH",Rail,100030,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9238303.0,9152741.0,9454399.0,10280173.0
"Cleveland, TN",Bus,40170,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33797.0,35453.0,43453.0,34243.0
"Cleveland, TN",DemandResponse,40170,414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22840.0,22162.0,21876.0,10599.0
"Coeur d'Alene, ID",Bus,53,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coeur d'Alene, ID",DemandResponse,53,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"College Station-Bryan, TX",Bus,180177,591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4506519.0,1203890.0,217407.0,204307.0
"College Station-Bryan, TX",DemandResponse,60059,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178712.0,179854.0,164009.0,154127.0
"Colorado Springs, CO",Bus,80005,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627237.0,2692124.0,2627171.0,2648549.0
"Colorado Springs, CO",DemandResponse,240015,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861940.0,839962.0,703957.0,732411.0
"Columbia, MO",Bus,70016,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922119.0,1657084.0,1510908.0,1508501.0
"Columbia, MO",DemandResponse,70016,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190668.0,202576.0,164523.0,159471.0
"Columbia, SC",Bus,80282,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637087.0,1862015.0,1797588.0,1932618.0
"Columbia, SC",DemandResponse,40141,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185899.0,211083.0,200682.0,214735.0
"Columbus, GA-AL",Bus,40024,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982717.0,1000924.0,906605.0,913341.0
"Columbus, GA-AL",DemandResponse,40024,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100200.0,81733.0,92037.0,121014.0
"Columbus, OH",Bus,100215,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20209776.0,19221528.0,18699171.0,18848755.0
"Columbus, OH",DemandResponse,150406,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449855.0,1254352.0,1252165.0,1590405.0
